x,$N(x)$
-4.0,26
-3.999,26
-3.998,26
-3.997,26
-3.996,26
-3.995,26
-3.994,26
-3.993,26
-3.992,26
-3.991,26
-3.99,26
-3.989,26
-3.988,26
-3.987,26
-3.986,26
-3.985,26
-3.984,26
-3.983,26
-3.982,26
-3.981,26
-3.98,26
-3.979,26
-3.978,26
-3.977,26
-3.976,26
-3.975,26
-3.974,26
-3.973,26
-3.972,26
-3.971,26
-3.97,26
-3.969,26
-3.968,26
-3.967,26
-3.966,26
-3.965,26
-3.964,26
-3.963,26
-3.962,26
-3.961,26
-3.96,26
-3.959,26
-3.958,26
-3.957,25
-3.956,25
-3.955,25
-3.954,25
-3.953,25
-3.952,25
-3.951,25
-3.95,25
-3.949,25
-3.948,25
-3.947,25
-3.946,25
-3.945,25
-3.944,25
-3.943,25
-3.942,25
-3.941,25
-3.94,25
-3.939,25
-3.938,25
-3.937,25
-3.936,25
-3.935,25
-3.934,25
-3.933,25
-3.932,25
-3.931,25
-3.93,25
-3.929,25
-3.928,25
-3.927,25
-3.926,25
-3.925,25
-3.924,25
-3.923,25
-3.922,25
-3.921,25
-3.92,25
-3.919,25
-3.918,25
-3.917,25
-3.916,25
-3.915,25
-3.914,25
-3.913,25
-3.912,25
-3.911,25
-3.91,25
-3.909,25
-3.908,25
-3.907,25
-3.906,25
-3.905,25
-3.904,25
-3.903,25
-3.902,25
-3.901,25
-3.9,25
-3.899,25
-3.898,25
-3.897,25
-3.896,25
-3.895,25
-3.894,25
-3.893,25
-3.892,25
-3.891,25
-3.89,25
-3.889,25
-3.888,25
-3.887,25
-3.886,25
-3.885,25
-3.884,25
-3.883,25
-3.882,25
-3.881,25
-3.88,25
-3.879,25
-3.878,25
-3.877,25
-3.876,25
-3.875,25
-3.874,25
-3.873,25
-3.872,25
-3.871,25
-3.87,25
-3.869,25
-3.868,25
-3.867,25
-3.866,25
-3.865,25
-3.864,25
-3.863,25
-3.862,24
-3.861,24
-3.86,24
-3.859,24
-3.858,24
-3.857,24
-3.856,24
-3.855,24
-3.854,24
-3.853,24
-3.852,24
-3.851,24
-3.85,24
-3.849,24
-3.848,24
-3.847,24
-3.846,24
-3.845,24
-3.844,24
-3.843,24
-3.842,24
-3.841,24
-3.84,24
-3.839,24
-3.838,24
-3.837,24
-3.836,24
-3.835,24
-3.834,24
-3.833,24
-3.832,24
-3.831,24
-3.83,24
-3.829,24
-3.828,24
-3.827,24
-3.826,24
-3.825,24
-3.824,24
-3.823,24
-3.822,24
-3.821,24
-3.82,24
-3.819,24
-3.818,24
-3.817,24
-3.816,24
-3.815,24
-3.814,24
-3.813,24
-3.812,24
-3.811,24
-3.81,24
-3.809,24
-3.808,24
-3.807,24
-3.806,24
-3.805,24
-3.804,24
-3.803,24
-3.802,24
-3.801,24
-3.8,24
-3.799,24
-3.798,24
-3.797,24
-3.796,24
-3.795,24
-3.794,24
-3.793,24
-3.792,24
-3.791,24
-3.79,24
-3.789,24
-3.788,24
-3.787,24
-3.786,24
-3.785,24
-3.784,24
-3.783,24
-3.782,24
-3.781,24
-3.78,24
-3.779,24
-3.778,24
-3.777,24
-3.776,24
-3.775,24
-3.774,24
