x,Erfc,TS05,TS10,TS15,TS20,TS30
-3,0.0013499,0.672517,-0.0134278,0.00138904,0.00134987,0.0013499,
-2.99,0.00139489,0.645679,-0.0123146,0.00142999,0.00139487,0.00139489,
-2.98,0.00144124,0.619827,-0.0112738,0.00147271,0.00144122,0.00144124,
-2.97,0.001489,0.594928,-0.0103008,0.0015172,0.00148898,0.001489,
-2.96,0.0015382,0.570952,-0.00939069,0.00156346,0.00153818,0.0015382,
-2.95,0.00158887,0.547868,-0.00853931,0.0016115,0.00158886,0.00158887,
-2.94,0.00164106,0.525645,-0.00774256,0.00166132,0.00164105,0.00164106,
-2.93,0.00169481,0.504255,-0.00699666,0.00171294,0.0016948,0.00169481,
-2.92,0.00175016,0.483669,-0.00629803,0.00176637,0.00175015,0.00175016,
-2.91,0.00180714,0.463862,-0.00564333,0.00182164,0.00180714,0.00180714,
-2.9,0.00186581,0.444805,-0.00502945,0.00187877,0.00186581,0.00186581,
-2.89,0.00192621,0.426474,-0.00445345,0.00193779,0.0019262,0.00192621,
-2.88,0.00198838,0.408844,-0.00391259,0.00199872,0.00198837,0.00198838,
-2.87,0.00205236,0.39189,-0.0034043,0.00206159,0.00205236,0.00205236,
-2.86,0.00211821,0.37559,-0.00292618,0.00212644,0.0021182,0.00211821,
-2.85,0.00218596,0.359921,-0.00247597,0.00219331,0.00218596,0.00218596,
-2.84,0.00225568,0.344861,-0.00205156,0.00226223,0.00225567,0.00225568,
-2.83,0.0023274,0.330389,-0.00165098,0.00233324,0.0023274,0.0023274,
-2.82,0.00240118,0.316485,-0.00127239,0.00240639,0.00240118,0.00240118,
-2.81,0.00247707,0.303127,-0.000914043,0.00248171,0.00247707,0.00247708,
-2.8,0.00255513,0.290299,-0.00057433,0.00255925,0.00255513,0.00255513,
-2.79,0.0026354,0.27798,-0.000251733,0.00263907,0.0026354,0.0026354,
-2.78,0.00271794,0.266152,5.51673e-05,0.00272121,0.00271794,0.00271795,
-2.77,0.00280281,0.254799,0.000347699,0.00280572,0.00280281,0.00280282,
-2.76,0.00289007,0.243903,0.000627106,0.00289265,0.00289007,0.00289007,
-2.75,0.00297976,0.233448,0.000894553,0.00298205,0.00297976,0.00297976,
-2.74,0.00307196,0.223419,0.00115113,0.00307399,0.00307196,0.00307196,
-2.73,0.00316672,0.213799,0.00139786,0.00316852,0.00316672,0.00316672,
-2.72,0.0032641,0.204574,0.00163569,0.0032657,0.0032641,0.0032641,
-2.71,0.00336416,0.19573,0.00186553,0.00336558,0.00336416,0.00336416,
-2.7,0.00346697,0.187253,0.00208821,0.00346823,0.00346697,0.00346697,
-2.69,0.0035726,0.179129,0.00230452,0.00357372,0.0035726,0.0035726,
-2.68,0.00368111,0.171346,0.00251521,0.0036821,0.00368111,0.00368111,
-2.67,0.00379256,0.163891,0.00272095,0.00379344,0.00379256,0.00379256,
-2.66,0.00390703,0.156752,0.00292241,0.00390781,0.00390703,0.00390703,
-2.65,0.00402459,0.149917,0.00312018,0.00402527,0.00402459,0.00402459,
-2.64,0.0041453,0.143375,0.00331486,0.00414591,0.0041453,0.0041453,
-2.63,0.00426924,0.137116,0.00350697,0.00426978,0.00426924,0.00426924,
-2.62,0.00439649,0.131128,0.00369702,0.00439696,0.00439649,0.00439649,
-2.61,0.00452711,0.125402,0.00388549,0.00452753,0.00452711,0.00452711,
-2.6,0.00466119,0.119927,0.00407283,0.00466156,0.00466119,0.00466119,
-2.59,0.0047988,0.114694,0.00425947,0.00479912,0.0047988,0.0047988,
-2.58,0.00494002,0.109695,0.00444581,0.0049403,0.00494002,0.00494002,
-2.57,0.00508493,0.10492,0.00463222,0.00508518,0.00508493,0.00508493,
-2.56,0.00523361,0.10036,0.00481906,0.00523383,0.00523361,0.00523361,
-2.55,0.00538615,0.0960082,0.00500668,0.00538634,0.00538615,0.00538615,
-2.54,0.00554262,0.0918558,0.00519539,0.00554279,0.00554262,0.00554262,
-2.53,0.00570313,0.0878954,0.0053855,0.00570328,0.00570313,0.00570313,
-2.52,0.00586774,0.0841196,0.00557731,0.00586787,0.00586774,0.00586774,
-2.51,0.00603656,0.0805213,0.00577109,0.00603667,0.00603656,0.00603656,
-2.5,0.00620967,0.0770937,0.0059671,0.00620977,0.00620967,0.00620967,
-2.49,0.00638715,0.0738302,0.0061656,0.00638724,0.00638716,0.00638716,
-2.48,0.00656912,0.0707245,0.00636683,0.0065692,0.00656912,0.00656912,
-2.47,0.00675565,0.0677704,0.00657103,0.00675572,0.00675565,0.00675565,
-2.46,0.00694685,0.0649621,0.00677841,0.00694691,0.00694685,0.00694685,
-2.45,0.00714281,0.0622939,0.00698919,0.00714286,0.00714281,0.00714281,
-2.44,0.00734363,0.0597603,0.00720359,0.00734368,0.00734363,0.00734363,
-2.43,0.00754941,0.0573562,0.00742179,0.00754945,0.00754941,0.00754941,
-2.42,0.00776025,0.0550764,0.007644,0.00776029,0.00776025,0.00776025,
-2.41,0.00797626,0.0529161,0.0078704,0.00797629,0.00797626,0.00797626,
-2.4,0.00819754,0.0508707,0.00810119,0.00819756,0.00819754,0.00819754,
-2.39,0.00842419,0.0489356,0.00833652,0.00842421,0.00842419,0.00842419,
-2.38,0.00865632,0.0471066,0.00857659,0.00865634,0.00865632,0.00865632,
-2.37,0.00889404,0.0453795,0.00882156,0.00889406,0.00889404,0.00889404,
-2.36,0.00913747,0.0437503,0.00907161,0.00913748,0.00913747,0.00913747,
-2.35,0.00938671,0.0422152,0.00932688,0.00938672,0.00938671,0.00938671,
-2.34,0.00964187,0.0407705,0.00958755,0.00964188,0.00964187,0.00964187,
-2.33,0.00990308,0.0394127,0.00985378,0.00990309,0.00990308,0.00990308,
-2.32,0.0101704,0.0381384,0.0101257,0.0101704,0.0101704,0.0101704,
-2.31,0.0104441,0.0369444,0.0104035,0.0104441,0.0104441,0.0104441,
-2.3,0.0107241,0.0358275,0.0106874,0.0107241,0.0107241,0.0107241,
-2.29,0.0110107,0.0347848,0.0109774,0.0110107,0.0110107,0.0110107,
-2.28,0.0113038,0.0338135,0.0112737,0.0113038,0.0113038,0.0113038,
-2.27,0.0116038,0.0329107,0.0115765,0.0116038,0.0116038,0.0116038,
-2.26,0.0119106,0.0320738,0.0118859,0.0119106,0.0119106,0.0119106,
-2.25,0.0122245,0.0313005,0.0122021,0.0122245,0.0122245,0.0122245,
