x,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,
-4,-1.09577,3.15962,-7.05331,12.3999,-17.8606,21.7531,-22.9393,21.3275,-17.7315,13.333,-9.15176,5.77881,-3.37861,1.83929,-0.936734,0.448294,-0.20225,0.0863949,-0.0349571,0.0135182,-0.00492605,0.00177353,-0.000554403,0.000220857,-2.70151e-05,4.91935e-05,2.66296e-05,3.30721e-05,3.12959e-05,3.17693e-05,3.16472e-05,
-3.999,-1.09537,3.15682,-7.04334,12.3758,-17.8167,21.6883,-22.8591,21.242,-17.6513,13.2659,-9.10108,5.74388,-3.35648,1.82632,-0.929654,0.444681,-0.200517,0.0856123,-0.0346223,0.0133826,-0.00487354,0.0017544,-0.000547493,0.00021871,-2.61441e-05,4.90989e-05,2.6832e-05,3.31865e-05,3.14355e-05,3.19019e-05,3.17817e-05,
-3.998,-1.09497,3.15403,-7.03338,12.3518,-17.7728,21.6236,-22.7792,21.1568,-17.5715,13.1992,-9.05066,5.70915,-3.33449,1.81343,-0.922625,0.441095,-0.198799,0.0848365,-0.0342906,0.0132483,-0.00482157,0.00173547,-0.000540659,0.00021659,-2.52816e-05,4.90077e-05,2.7034e-05,3.33017e-05,3.15755e-05,3.20351e-05,3.19167e-05,
-3.997,-1.09457,3.15124,-7.02344,12.3278,-17.729,21.5592,-22.6995,21.0719,-17.492,13.1327,-9.00051,5.67462,-3.31263,1.80063,-0.915647,0.437538,-0.197096,0.0840676,-0.033962,0.0131154,-0.00477014,0.00171675,-0.000533901,0.000214497,-2.44276e-05,4.892e-05,2.72357e-05,3.34178e-05,3.1716e-05,3.21689e-05,3.20523e-05,
-3.996,-1.09417,3.14846,-7.0135,12.3039,-17.6853,21.4948,-22.6201,20.9874,-17.4129,13.0666,-8.95063,5.64029,-3.29092,1.78792,-0.908721,0.434009,-0.195406,0.0833054,-0.0336365,0.0129837,-0.00471923,0.00169823,-0.000527217,0.000212432,-2.35818e-05,4.88357e-05,2.74371e-05,3.35346e-05,3.1857e-05,3.23032e-05,3.21883e-05,
-3.995,-1.09377,3.14567,-7.00358,12.28,-17.6417,21.4307,-22.5409,20.9031,-17.3341,13.0008,-8.90101,5.60616,-3.26934,1.77529,-0.901845,0.430507,-0.193731,0.08255,-0.033314,0.0128534,-0.00466885,0.00167992,-0.000520606,0.000210392,-2.27443e-05,4.87547e-05,2.76381e-05,3.36523e-05,3.19984e-05,3.24381e-05,3.23249e-05,
-3.994,-1.09338,3.14289,-6.99367,12.2562,-17.5983,21.3668,-22.462,20.8192,-17.2556,12.9353,-8.85165,5.57223,-3.24789,1.76275,-0.89502,0.427033,-0.19207,0.0818012,-0.0329945,0.0127243,-0.00461899,0.00166181,-0.000514069,0.00020838,-2.19149e-05,4.86771e-05,2.78388e-05,3.37708e-05,3.21403e-05,3.25735e-05,3.24621e-05,
-3.993,-1.09298,3.14011,-6.98377,12.2324,-17.5549,21.303,-22.3833,20.7356,-17.1775,12.8702,-8.80255,5.53849,-3.22659,1.7503,-0.888244,0.423586,-0.190422,0.081059,-0.032678,0.0125965,-0.00456964,0.00164389,-0.000507603,0.000206393,-2.10934e-05,4.86028e-05,2.80392e-05,3.389e-05,3.22826e-05,3.27095e-05,3.25998e-05,
-3.992,-1.09258,3.13733,-6.97388,12.2086,-17.5116,21.2394,-22.3049,20.6523,-17.0997,12.8053,-8.75371,5.50495,-3.20541,1.73793,-0.881518,0.420166,-0.188788,0.0803234,-0.0323644,0.01247,-0.00452079,0.00162617,-0.000501208,0.000204431,-2.02799e-05,4.85317e-05,2.82393e-05,3.40101e-05,3.24255e-05,3.28461e-05,3.27381e-05,
-3.991,-1.09218,3.13455,-6.964,12.1849,-17.4684,21.1759,-22.2268,20.5693,-17.0222,12.7408,-8.70513,5.47161,-3.18437,1.72564,-0.874841,0.416772,-0.187168,0.0795943,-0.0320538,0.0123447,-0.00447245,0.00160865,-0.000494884,0.000202495,-1.94741e-05,4.84639e-05,2.84391e-05,3.41309e-05,3.25688e-05,3.29833e-05,3.28768e-05,
-3.99,-1.09178,3.13177,-6.95413,12.1612,-17.4252,21.1126,-22.1489,20.4867,-16.9451,12.6765,-8.6568,5.43846,-3.16346,1.71344,-0.868213,0.413405,-0.185561,0.0788716,-0.0317461,0.0122206,-0.00442461,0.00159131,-0.000488629,0.000200584,-1.8676e-05,4.83992e-05,2.86387e-05,3.42526e-05,3.27126e-05,3.3121e-05,3.30162e-05,
