x,Erfc,TS30,DTS (Fitted)
-4,3.16712e-05,3.16472e-05,4.91935e-05,
-3.99,3.30366e-05,3.30162e-05,4.83992e-05,
-3.98,3.44576e-05,3.44402e-05,4.79222e-05,
-3.97,3.59363e-05,3.59215e-05,4.77334e-05,
-3.96,3.74749e-05,3.74623e-05,4.78075e-05,
-3.95,3.90756e-05,3.90649e-05,4.81225e-05,
-3.94,4.07408e-05,4.07318e-05,4.86593e-05,
-3.93,4.24729e-05,4.24653e-05,4.94014e-05,
-3.92,4.42745e-05,4.42681e-05,2.31368e-05,
-3.91,4.61481e-05,4.61427e-05,2.7571e-05,
-3.9,4.80963e-05,4.80918e-05,3.17751e-05,
-3.89,5.01221e-05,5.01183e-05,3.57877e-05,
-3.88,5.22282e-05,5.22251e-05,3.9643e-05,
-3.87,5.44177e-05,5.44151e-05,4.3372e-05,
-3.86,5.66935e-05,5.66914e-05,4.70023e-05,
-3.85,5.90589e-05,5.90572e-05,5.05591e-05,
-3.84,6.15172e-05,6.15158e-05,5.40648e-05,
-3.83,6.40716e-05,6.40705e-05,5.754e-05,
-3.82,6.67258e-05,6.6725e-05,8.69684e-05,
-3.81,6.94834e-05,6.94827e-05,8.73068e-05,
-3.8,7.2348e-05,7.23476e-05,8.8036e-05,
-3.79,7.53236e-05,7.53233e-05,8.91274e-05,
-3.78,7.84142e-05,7.8414e-05,9.05558e-05,
-3.77,8.16238e-05,8.16237e-05,9.22998e-05,
-3.76,8.49567e-05,8.49567e-05,9.43407e-05,
-3.75,8.84173e-05,8.84174e-05,9.66629e-05,
-3.74,9.20101e-05,9.20103e-05,9.92528e-05,
-3.73,9.57399e-05,9.57401e-05,0.000102099,
-3.72,9.96114e-05,9.96116e-05,0.000105194,
-3.71,0.00010363,0.00010363,8.59748e-05,
-3.7,0.0001078,0.0001078,9.223e-05,
-3.69,0.000112127,0.000112127,9.84009e-05,
-3.68,0.000116617,0.000116617,0.00010452,
-3.67,0.000121275,0.000121276,0.000110618,
-3.66,0.000126108,0.000126108,0.000116723,
-3.65,0.00013112,0.000131121,0.000122858,
-3.64,0.000136319,0.000136319,0.000129048,
-3.63,0.000141711,0.000141711,0.000135314,
-3.62,0.000147302,0.000147302,0.000141676,
-3.61,0.000153099,0.000153099,0.000171173,
-3.6,0.000159109,0.000159109,0.000175081,
-3.59,0.000165339,0.000165339,0.000179449,
-3.58,0.000171797,0.000171798,0.000184258,
-3.57,0.000178491,0.000178491,0.000189491,
-3.56,0.000185427,0.000185428,0.000195135,
-3.55,0.000192616,0.000192616,0.000201179,
-3.54,0.000200064,0.000200064,0.000207615,
-3.53,0.00020778,0.00020778,0.000214437,
-3.52,0.000215773,0.000215774,0.000221639,
-3.51,0.000224053,0.000224054,0.000229221,
-3.5,0.000232629,0.00023263,0.000215681,
-3.49,0.00024151,0.000241511,0.000226506,
-3.48,0.000250707,0.000250707,0.000237428,
-3.47,0.000260229,0.00026023,0.000248482,
-3.46,0.000270088,0.000270088,0.000259699,
-3.45,0.000280293,0.000280294,0.000271109,
-3.44,0.000290857,0.000290858,0.000282741,
-3.43,0.000301791,0.000301791,0.000294621,
-3.42,0.000313106,0.000313106,0.000306774,
-3.41,0.000324814,0.000324815,0.000319226,
-3.4,0.000336929,0.00033693,0.000331998,
-3.39,0.000349463,0.000349464,0.000365986,
-3.38,0.000362429,0.00036243,0.000377086,
-3.37,0.000375841,0.000375841,0.000388837,
-3.36,0.000389712,0.000389713,0.000401232,
-3.35,0.000404058,0.000404058,0.000414265,
-3.34,0.000418892,0.000418892,0.000427933,
-3.33,0.00043423,0.00043423,0.000442235,
-3.32,0.000450087,0.000450088,0.000457172,
-3.31,0.00046648,0.00046648,0.000472748,
-3.3,0.000483424,0.000483425,0.000488968,
-3.29,0.000500937,0.000500937,0.000505838,
-3.28,0.000519035,0.000519036,0.000523367,
-3.27,0.000537737,0.000537738,0.000522834,
-3.26,0.000557061,0.000557062,0.000543819,
-3.25,0.000577025,0.000577026,0.000565263,
-3.24,0.000597648,0.000597649,0.000587206,
-3.23,0.000618951,0.000618952,0.000609683,
-3.22,0.000640953,0.000640953,0.00063273,
-3.21,0.000663675,0.000663675,0.000656382,
-3.2,0.000687138,0.000687138,0.000680673,
-3.19,0.000711364,0.000711364,0.000705635,
-3.18,0.000736375,0.000736376,0.0007313,
-3.17,0.000762195,0.000762195,0.000757701,
-3.16,0.000788846,0.000788846,0.000804649,
-3.15,0.000816352,0.000816353,0.000830425,
-3.14,0.000844739,0.00084474,0.000857266,
-3.13,0.000874032,0.000874032,0.000885178,
-3.12,0.000904255,0.000904256,0.00091417,
-3.11,0.000935437,0.000935437,0.000944252,
-3.1,0.000967603,0.000967604,0.000975438,
-3.09,0.00100078,0.00100078,0.00100774,
-3.08,0.001035,0.001035,0.00104119,
-3.07,0.00107029,0.00107029,0.00107578,
