$N(x)$,xMin,xMax,xMean
0,0.001,0.053,0.02700000000000001
1,0.054,0.253,0.15300502512562814
2,0.252,0.508,0.37950393700787366
3,0.506,0.766,0.6359961389961392
4,0.765,1.015,0.8885121951219516
5,1.011,1.242,1.1254956140350876
6,1.239,1.453,1.3464859813084114
7,1.454,1.652,1.5525151515151514
8,1.649,1.837,1.7440054054054048
9,1.833,2.006,1.9214764705882357
10,2.007,2.172,2.0895000000000006
11,2.173,2.33,2.2500387096774186
12,2.325,2.475,2.4004726027397254
13,2.473,2.614,2.543014388489209
14,2.611,2.75,2.6805000000000003
15,2.747,2.878,2.812515625000001
16,2.873,3.0,2.9384516129032265
17,3.001,3.124,3.062500000000001
18,3.125,3.238,3.180535714285715
19,3.235,3.35,3.2920000000000003
20,3.346,3.454,3.400962616822429
21,3.455,3.563,3.508518518518519
22,3.561,3.665,3.613009900990099
23,3.662,3.765,3.7139900990099015
24,3.763,3.864,3.813500000000001
25,3.862,3.956,3.909478723404255
26,3.957,4.0,3.9785
